1;"ACCIUGHE o ALICI";16,80;1,50;2,60;70,00;0,00;96,00
2;"ACCIUGHE o ALICI SOTTO SALE";25,00;0,00;3,10;70,00;0,00;128,00
3;"ACCIUGHE o ALICI SOTT'OLIO";25,90;0,20;11,30;120,00;0,00;206,00
4;"ACETO";0,40;0,60;0,00;0,00;0,00;4,00
5;"ACQUA";0,00;0,00;0,00;0,00;0,00;0,00
6;"ACQUA TONICA";0,00;8,80;0,00;0,00;0,00;33,00
7;"AGAR AGAR";1,60;-2,00;1,20;0,00;81,10;16,00
8;"AGLIO, fresco";0,90;8,40;0,60;0,00;2,30;41,00
9;"AGLIO, in polvere";18,70;42,70;1,20;0,00;9,90;246,00
10;"AGNELLO";20,80;0,00;8,80;71,00;0,00;162,00
11;"AGNELLO, CARNE GRASSA";18,00;0,00;23,00;79,00;0,00;279,00
12;"AGNELLO, CARNE MAGRA";20,00;0,00;4,60;71,00;0,00;121,00
13;"AGNELLO, CARNE SEMIGRASSA";19,00;0,00;15,00;71,00;0,00;211,00
14;"AGNELLO, CORATELLA";15,70;1,20;4,70;240,00;0,00;110,00
15;"AGNELLO, COSTOLETTE";14,60;0,00;36,30;71,00;0,00;386,00
16;"AGRETTI";1,80;2,20;0,20;0,00;2,30;17,00
17;"ALBICOCCHE";0,40;6,80;0,10;0,00;1,50;28,00
18;"ALBICOCCHE, polpa secca";4,80;43,40;0,70;0,00;21,60;188,00
19;"ALCOOL PURO";0,00;0,00;0,00;0,00;0,00;516,00
20;"ALLORO, secco";7,60;48,60;8,40;0,00;26,30;313,00
21;"AMARENE";0,80;10,20;0,00;0,00;1,10;41,00
22;"AMARI A BASSA GRADAZIONE (tra 23 e 30 %vol)";-2,00;32,80;0,00;0,00;0,00;261,00
23;"AMARI AD ALTA GRADAZIONE (superiori a 35 %vol)";-2,00;0,50;0,00;0,00;0,00;232,00
24;"AMIDO";0,40;100,10;0,20;0,00;-2,00;379,00
25;"ANANAS";0,50;10,00;0,00;0,00;1,00;40,00
26;"ANANAS SCIROPPATA";0,30;20,20;-2,00;0,00;0,90;77,00
27;"ANATRA";21,40;0,00;8,20;110,00;0,00;159,00
28;"ANGUILLA DI FIUME";11,80;0,10;23,70;117,00;0,00;261,00
29;"ANGUILLA DI MARE";14,60;0,70;19,60;117,00;0,00;237,00
30;"ANGUILLA MARINATA";14,80;0,60;21,90;117,00;0,00;259,00
31;"APERITIVI (fino a 22 %vol)";-3,00;17,00;0,00;0,00;0,00;186,00
32;"ARACHIDI CRUDE";26,00;11,20;47,20;0,00;7,30;571,00
33;"ARACHIDI TOSTATE";29,00;8,50;50,00;0,00;10,90;597,00
34;"ARACHIDI TOSTATE E SALATE";24,50;7,10;53,00;0,00;6,90;602,00
35;"ARAGOSTA";16,20;1,00;1,90;164,00;0,00;86,00
36;"ARANCE";0,70;7,80;0,20;0,00;1,60;34,00
37;"ARANCE, SCORZA";1,50;14,40;0,20;0,00;10,60;97,00
38;"ARANCIATA IN LATTINA";0,10;10,00;0,00;0,00;0,00;38,00
39;"ARINGA";17,80;0,00;13,20;50,00;0,00;190,00
40;"ARINGA AFFUMICATA";19,90;0,00;12,70;82,00;0,00;194,00
41;"ARINGA MARINATA";18,30;0,00;14,00;42,00;0,00;199,00
42;"ARINGA SALATA";19,80;0,00;15,40;42,00;0,00;218,00
43;"ASIAGO";31,40;-2,00;25,60;90,00;0,00;356,00
44;"ASPARAGI DI BOSCO";4,60;4,00;0,20;0,00;2,60;35,00
45;"ASPARAGI DI CAMPO";3,60;3,30;0,20;0,00;2,10;29,00
46;"ASPARAGI DI SERRA";3,00;3,00;0,10;0,00;2,10;24,00
47;"ASPARAGI IN SCATOLA";2,10;0,90;0,70;0,00;1,60;19,00
48;"ASTICE";18,80;0,50;0,90;95,00;0,00;90,00
49;"AVENA";16,90;55,70;6,90;0,00;10,60;389,00
50;"AVOCADO";4,40;1,80;23,00;0,00;3,30;231,00
51;"BABA' AL RHUM";5,90;41,40;5,70;151,00;0,90;252,00
52;"BABACO";0,70;4,50;0,10;0,00;1,10;21,00
53;"BACCALA', ammollato";21,60;0,00;1,00;50,00;0,00;95,00
54;"BACCALA', secco";29,00;0,00;0,70;82,00;0,00;122,00
55;"BANANA";1,20;15,50;0,30;0,00;1,80;66,00
56;"BARBABIETOLE ROSSE";1,10;4,00;0,00;0,00;2,60;20,00
57;"BASILICO, fresco";3,10;5,10;0,80;0,00;5,20;40,00
58;"BASILICO, secco macinato";14,40;43,20;4,00;0,00;17,80;251,00
